Item id,Name,Brand,Category,Item Url,Final price,Final price currency,Base price,Base price currency,Picture url,Category id
3206260,New Balance ML574PX2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574px2,429.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/e551fb1db339ae2e31cd8f4c3be00fdf,13164
3206259,New Balance ML574LX2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574lx2,429.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/ce94567444d3b1f64d4791dfa87311e9,13164
3206258,New Balance ML574EX2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574ex2,349.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/97fc09d057951936d124cf2f13133949,13164
3206255,New Balance ML574HML,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574hml,399.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/c441a0d9780e20a9ee47ef402be896f9,13164
3206254,New Balance ML574HMK,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574hmk,329.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/09f137e229c52ec56d671b82e0f5d607,13164
3206253,New Balance ML574HMJ,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574hmj,399.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/c87b32baa0535389aa8e55519d968dcb,13164
3206252,New Balance ML574HMI,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574hmi,399.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/e3910be586f5281867281a373eda0465,13164
3206120,New Balance ML574DHR,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574dhr,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/a609fc338e25c9e9493e2a779c501f4f,13164
3206119,New Balance ML574DHL,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574dhl,299.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/35de2b4872ee8f0699e08596e42046fa,13164
3206118,New Balance ML574DHG,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574dhg,279.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/fcfa0a0318472dd9661f6049a51f8ce8,13164
3206077,New Balance ML574NW2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574nw2,429.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/154d76efd833fa2be56fd18e03184ce9,13164
3206076,New Balance ML574NM2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574nm2,429.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/132df5042c5e750b10b70efdee526957,13164
3206075,New Balance ML574NG2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574ng2,429.99,PLN,429.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/467b7dafea8e4e6fbeee708931145f50,13164
3205874,New Balance ML574BH2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574bh2,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/c437624910cb76ec5bfe37e956b6cd0a,13164
3205873,New Balance ML574BG2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574bg2,299.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/f7a081ae206533f1bb7443508440dd69,13164
3205872,New Balance ML574BF2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574bf2,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/a3419cd3cfbe1fe4718065904c067ecd,13164
3205871,New Balance ML574BE2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574be2,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/b16f47631962b6c6a170b4f71b49067e,13164
